Date,Close/Last,Volume,Open,High,Low
02/04/2022,$122.22,13538230,$121.27,$123.94,$119.66
02/03/2022,$123.47,16651450,$121.55,$125.27,$120.73
02/02/2022,$122.88,14050110,$127.63,$127.63,$121.17
02/01/2022,$127.22,15036090,$124.81,$128,$122.97
01/31/2022,$125.79,20346450,$118.17,$125.87,$117.5
01/28/2022,$115.23,18892420,$113.25,$115.32,$110.06
01/27/2022,$111.79,21472710,$113.11,$114.54,$110.27
01/26/2022,$113.37,27513220,$120.93,$120.93,$112.9624
01/25/2022,$119.14,22224080,$119.91,$122.4599,$118.04
01/24/2022,$120.37,28552360,$119.32,$120.78,$115.32
01/21/2022,$123.23,26341430,$128.23,$128.96,$122.5207
01/20/2022,$131.03,28966440,$135.77,$136.75,$130.68
01/19/2022,$127.74,14665150,$128.1,$130.86,$127.13
01/18/2022,$128.6,26141710,$126.27,$132.13,$124.82
01/14/2022,$131.57,18614920,$132.81,$134.36,$129.35
01/13/2022,$131.37,19887680,$135.2,$135.92,$131.3
01/12/2022,$137.41,25961080,$136.02,$138.7,$135.585
01/11/2022,$132.19,23616430,$129.21,$134.23,$127.47
01/10/2022,$128.3,23372230,$131.99,$132.6,$126.23
01/07/2022,$129.81,38113000,$130.24,$133.88,$128.18
01/06/2022,$126.63,32045780,$124.26,$128.3999,$123.465
01/05/2022,$121.16,36651070,$118,$126.62,$117.7001
01/04/2022,$119.56,20824000,$119.53,$120.87,$115.77
01/03/2022,$120.38,16789350,$119.38,$121.95,$115.82
12/31/2021,$118.79,24287050,$121.23,$122.91,$118.59
12/30/2021,$122.99,45437130,$112.63,$124.3,$112.3
12/29/2021,$112.09,21100460,$113.8,$114.2,$110.38
12/28/2021,$114.8,17052100,$116.26,$116.42,$114.47
12/27/2021,$116.59,17864370,$117.8,$121.8,$116.1021
12/23/2021,$118.66,17563250,$116.8,$119.59,$115.39
12/22/2021,$117.81,24502010,$117.09,$118.66,$115.15
12/21/2021,$122.98,18036280,$116.85,$122.98,$116.6
12/20/2021,$115,23970490,$118.5,$118.83,$113.695
12/17/2021,$122.1,19781130,$119.49,$122.87,$117.81
12/16/2021,$120.25,22533390,$122.32,$125.69,$118.9
12/15/2021,$122.47,24893460,$122.63,$123.59,$117.77
12/14/2021,$126.58,17691500,$120.93,$127.65,$120.3
12/13/2021,$122.24,15820490,$123,$123.25,$119.75
12/10/2021,$125.06,15008280,$123.22,$125.21,$122.7797
12/09/2021,$123.91,23499300,$124.63,$127.76,$123.2117
12/08/2021,$125.08,22275030,$123.21,$126.97,$121.32
12/07/2021,$125.54,38542810,$129.3,$129.4499,$123.4601
12/06/2021,$123.6,43111400,$113.64,$123.82,$113.43
12/03/2021,$111.96,70266470,$118,$118.19,$108.7
12/02/2021,$122,34478640,$123.02,$125,$119.3401
12/01/2021,$122.49,29340500,$128.37,$129.155,$121.9
11/30/2021,$127.53,32625450,$129.901,$131.32,$126.13
11/29/2021,$131.61,18648850,$134.25,$134.55,$130.55
11/26/2021,$133.35,14814900,$132.93,$133.9804,$131.22
11/24/2021,$136.52,20010440,$133.1,$136.76,$131.22
11/23/2021,$133.66,24102860,$136.032,$136.8499,$133.31
11/22/2021,$136.62,26390390,$139.9,$140.7,$135.21
11/19/2021,$140.34,28575740,$143.04,$145.06,$140
11/18/2021,$143.6,61571450,$146.91,$148.5,$141.89
11/17/2021,$161.58,18829530,$168.02,$168.3,$161.135
11/16/2021,$168.43,11887510,$168.6,$169.94,$166.67
11/15/2021,$166.54,9655711,$167.22,$168.46,$165.67
11/12/2021,$166.81,13741780,$165.174,$167.8,$163.4
11/11/2021,$167.85,16747450,$166.56,$169.63,$166.56
11/10/2021,$163.97,17216800,$163.68,$166.48,$161.82
11/09/2021,$160.19,14010130,$162.16,$164.48,$159.54
11/08/2021,$162.16,16223100,$161.765,$162.16,$159.48
11/05/2021,$158.73,22098220,$164.795,$164.795,$158.3
11/04/2021,$164.79,16669250,$169.28,$169.94,$164.5
11/03/2021,$166.24,13569680,$165.36,$166.65,$163.11
11/02/2021,$162.9,19072890,$167.1,$167.1,$162.76
11/01/2021,$170.17,17609490,$165.84,$171.895,$165.8
10/29/2021,$164.94,17155370,$167.07,$168.56,$162.72
10/28/2021,$169.79,12440140,$168.49,$170.35,$166.77
10/27/2021,$169.23,11801790,$167.53,$172.45,$167.34
10/26/2021,$169.99,17576990,$174.48,$174.9,$167.48
10/25/2021,$176.17,13119710,$177.86,$178.28,$173.83
10/22/2021,$177.7,20807340,$179.08,$182.09,$175.81
10/21/2021,$177.42,16444000,$177,$179.78,$176.71
10/20/2021,$177.18,33714430,$180.95,$182.09,$176.1301
10/19/2021,$177,33538850,$170.6,$177.44,$170.45
10/18/2021,$166.82,18945870,$166.58,$169.25,$166.58
10/15/2021,$168,20762750,$166.99,$169.8,$165.435
10/14/2021,$166.78,17403730,$168.26,$168.99,$164.46
10/13/2021,$167.4,18595000,$164.38,$168.265,$163.6
10/12/2021,$163,24512650,$163.825,$165.73,$162.24
10/11/2021,$163.95,42193580,$169.61,$169.8,$163.95
10/08/2021,$161.52,33499200,$159.86,$162.78,$157.91
10/07/2021,$156,46035860,$151.05,$158.29,$150.75
