Date,Close/Last,Volume,Open,High,Low
02/04/2022,58.7,96534410,56.87,60.41,55.89
02/03/2022,56.74,105575000,59.32,61.07,56.12
02/02/2022,64.5,100815200,65.22,65.3697,62.35
02/01/2022,63.01,101845800,62.42,63.35,59.73
01/31/2022,61.83,113751100,57.045,62.0599,56.22
01/28/2022,56.37,167016200,52.4,56.46,50.1
01/27/2022,51.56,161764100,55.4,56.24,51.04
01/26/2022,53.15,207838100,56.99,58.85,51.37
01/25/2022,53.25,173749000,54.15,56.31,51.75
01/24/2022,57.49,255904600,53.845,57.75,48.17
01/21/2022,56.67,171027300,60.62,62.025,56.5
01/20/2022,61.88,86098530,66.02,68.18,61.5
01/19/2022,64.37,91642200,67.36,68.71,64.16
01/18/2022,66.69,78170870,68.485,69.72,66.06
01/14/2022,71.87,89225820,69.09,72.065,69
01/13/2022,70.8,86765910,77.13,77.55,70.02
01/12/2022,76.34,138371180,76.985,77.965,74.94
01/11/2022,75.48,154326820,71.715,75.515,70.52
01/10/2022,72.3,179217400,69.175,72.47,66.05
01/07/2022,72.035,142713480,74.45,75.47,71
01/06/2022,74.47,154226580,73.515,76.405,72.21
01/05/2022,74.675,133245240,81.19,81.86,74.5012
01/04/2022,82.24,106648120,85.915,85.945,80.195
01/03/2022,85.565,76505160,83.915,85.72,82.56
12/31/2021,83.165,60248560,84.315,85.2,82.855
12/30/2021,84.74,56635820,85.385,86.8275,84.385
12/29/2021,85.54,57747340,85.655,86.495,83.9755
12/28/2021,85.675,72412520,87.38,87.49,85.015
12/27/2021,86.695,62981640,83.545,86.765,83.5
12/23/2021,82.74,65654120,81.085,83.645,80.985
12/22/2021,80.82,88611360,77.79,81,77.4116
12/21/2021,78.035,109562440,75.08,78.2245,72.855
12/20/2021,73.145,120932940,72.51,73.625,71.2501
12/17/2021,75.4,150136080,74.415,77.895,73.5
12/16/2021,76.57,148109900,83.505,83.81,75.475
12/15/2021,82.895,134530600,77.48,83.1345,75.015
12/14/2021,77.75,115466760,77.06,78.78,74.915
12/13/2021,80.135,89572600,83.735,83.945,79.89
12/10/2021,83.735,101537700,82.885,83.915,80.89
12/09/2021,81.22,106400960,84.075,85.255,81
12/08/2021,84.885,102621740,83.945,85,82.735
12/07/2021,83.72,135289200,80.885,84.14,80.87
12/06/2021,76.795,152413960,75.295,77.64,72.765
12/03/2021,75.04,240286800,80,80.64,72.465
12/02/2021,79.01,198216460,76.71,80.2595,75.825
12/01/2021,77.55,152057600,84.43,85.81,77.235
11/30/2021,81.745,151293000,84.84,86.395,80.355
11/29/2021,85.415,79465940,83.1,86.08,82.665
11/26/2021,80.42,88841140,83.39,84.32,79.36
11/24/2021,85.115,99120800,82.655,85.28,81.165
11/23/2021,84.335,113012700,84.725,86.085,81.395
11/22/2021,85.5,89522400,89.645,91.68,85.43
11/19/2021,88.57,64607160,88.215,89.4351,87.66
11/18/2021,87.095,86841680,85.84,87.45,84.385
11/17/2021,84.51,57967940,84.605,85.8425,83.895
11/16/2021,84.41,51590800,82.145,84.7041,82.03
11/15/2021,82.7,69729100,83.455,83.655,81.045
11/12/2021,82.725,63820400,80.905,83.035,79.875
11/11/2021,80.18,57719040,81.375,81.495,79.95
11/10/2021,79.535,96976720,81.36,83.2,78.25
11/09/2021,83.18,88118820,85.625,85.8974,82.285
